label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
DoorDeco_04293;cosmos wreath;cosmos wreath;Cosmeentürkranz;corona cosmos;corona cosmos;couronne cosmos;couronne cosmos;ghirlanda cosmee;cosmeakrans;波斯菊花环;波斯菊花圈;コスモスのリース;코스모스 리스;венок с космеями
DoorDeco_04375;snowflake wreath;snowflake wreath;Schneeflockentürschmuck;placa copo de nieve;placa copo de nieve;décoration flocon;décoration flocon;ghirlanda fiocco di neve;sneeuwvlokkenkrans;雪花花环;雪花花圈;ゆきのけっしょうのリース;눈의 결정 리스;венок-снежинка
DoorDeco_04376;shell wreath;shell wreath;Muscheltürkranz;corona conchas;corona caracolas;couronne coquillages;couronne coquillages;ghirlanda tema conchiglia;schelpenkrans;贝壳花环;貝殼花圈;かいがらのリース;조개껍데기 리스;венок с ракушками
DoorDeco_04377;ornament wreath;ornament wreath;Dekotürkranz;corona bolas decorativas;corona decorativa;couronne décorative;couronne décorative;ghirlanda con palline;feestelijke krans;装饰花环;裝飾花圈;オーナメントのリース;오너먼트 리스;праздничный венок
DoorDeco_04378;fruit wreath;fruit wreath;Früchtetürkranz;corona frutal;corona frutal;couronne fruits;couronne fruits;ghirlanda frutta;fruitkrans;水果花环;水果花圈;フルーツのリース;과일 리스;венок с фруктами
DoorDeco_04726;mushroom wreath;mushroom wreath;Pilztürkranz;corona setas;corona hongos;couronne champignons;couronne champignons;ghirlanda tema fungo;paddenstoelenkrans;蘑菇花环;蘑菇花圈;キノコのリース;버섯 리스;венок с грибами
DoorDeco_04727;tree branch wreath;tree branch wreath;Zweigetürkranz;corona ramas;corona ramas;couronne branches;couronne branches;ghirlanda rami;twijgenkrans;树枝花环;樹枝花圈;きのえだのリース;나뭇가지 리스;венок из веток
DoorDeco_04738;skull doorplate;skull doorplate;Totenkopftürschild;placa pirata;placa pirata;plaque tête de mort;plaque tête de mort;targa da porta teschio;schedeldeurplaatje;骷髅门牌;骷髏門牌;ドクロなドアプレート;해골 문패;табличка с черепом
DoorDeco_04751;bone doorplate;bone doorplate;Hundeknochentürschild;placa hueso;placa hueso;plaque nonosse;plaque os;targa da porta osso;bottendeurplaatje;骨头门牌;骨頭門牌;ボーンなドアプレート;뼈다귀 문패;табличка-косточка
DoorDeco_04752;iron doorplate;iron doorplate;Gusseisentürschild;placa hierro forjado;placa hierro forjado;plaque en fer forgé;plaque en fer forgé;targa da porta di ferro;ijzeren deurplaatje;铸铁门牌;鑄鐵門牌;アイアンなドアプレート;아이언 문패;железное украшение
