label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Umbrella_05861;Toad parasol;Toad parasol;Punkteschirm;parasol de lunares;parasol a lunares;parapluie à pois rouge;parapluie à pois rouge;parasole rosso;rode parasol met stippen;红色点点雨伞;紅色圓點雨傘;あかいみずたまのかさ;빨간 물방울 우산;зонт тоада
Umbrella_06840;leaf umbrella;leaf umbrella;Blättchenschirm;parasol hoja;parasol hoja;feuillapluie;feuillapluie;ombrello foglia;bladparaplu;叶子雨伞;葉子雨傘;はっぱのかさ;연꽃잎 우산;зонт-лист
Umbrella_06904;sunny parasol;sunny parasol;Sommerschirm;paraguas girasoles;paraguas girasoles;parapluie tournesols;parapluie tournesols;parasole gioioso;zonnige parasol;向日葵雨伞;向日葵雨傘;ひまわりのかさ;해바라기 우산;зонт с подсолнухами
Umbrella_06905;snowflake umbrella;snowflake umbrella;Schneeflockenschirm;paraguas nevada;paraguas nevada;parapluie flocon;parapluie flocon;ombrello fiocco di neve;sneeuwvlokparaplu;雪花雨伞;雪花雨傘;スノーフレークのかさ;눈꽃 우산;зонт-снежинка
Umbrella_06906;hydrangea umbrella;hydrangea umbrella;Hortensienschirm;paraguas hortensias;paraguas hortensias;parapluie hortensias;parapluie hortensias;ombrello ortensia;hortensiaparaplu;绣球花雨伞;繡球花雨傘;アジサイのかさ;수국 우산;зонт-гортензия
Umbrella_06907;strawberry umbrella;strawberry umbrella;Erdbeerschirm;paraguas fresa;paraguas fresa;parapluie fraise;parapluie fraise;ombrello fragola;aardbeiparaplu;草莓雨伞;草莓雨傘;いちごのかさ;딸기 우산;клубничный зонт
Umbrella_06908;kiwi umbrella;kiwi umbrella;Kiwischirm;paraguas kiwi;paraguas kiwi;parapluie kiwi;parapluie kiwi;ombrello kiwi;kiwiparaplu;奇异果雨伞;奇異果雨傘;キウイのかさ;키위 우산;зонт-киви
Umbrella_06909;watermelon umbrella;watermelon umbrella;Wassermelonenschirm;paraguas sandía;paraguas sandía;parapluie pastèque;parapluie melon d'eau;ombrello anguria;watermeloenparaplu;西瓜雨伞;西瓜雨傘;スイカのかさ;수박 우산;арбузный зонт
Umbrella_06910;pineapple umbrella;pineapple umbrella;Ananasschirm;paraguas piña;paraguas piña;parapluie ananas;parapluie ananas;ombrello ananas;ananasparaplu;凤梨雨伞;鳳梨雨傘;パイナップルのかさ;파인애플 우산;ананасный зонт
Umbrella_06911;grape umbrella;grape umbrella;Traubenschirm;paraguas uvas;paraguas uva;parapluie raisin;parapluie raisin;ombrello uva;druivenparaplu;葡萄雨伞;葡萄雨傘;ぶどうのかさ;포도 우산;виноградный зонт
Umbrella_06912;orange umbrella;orange umbrella;Orangenschirm;paraguas naranja;paraguas naranja;parapluie orange;parapluie orange;ombrello arancia;sinaasappelparaplu;橘子雨伞;橘子雨傘;オレンジのかさ;오렌지 우산;апельсиновый зонт
Umbrella_06913;raindrop umbrella;raindrop umbrella;Tropfenschirm;paraguas gotas de lluvia;paraguas gotas de lluvia;parapluie motif pluie;parapluie motif pluie;ombrello gocce di pioggia;regendruppelsparaplu;雨点雨伞;雨點雨傘;レイニーなかさ;비 내리는 우산;зонт с каплями
Umbrella_06914;mini-flower-print umbrella;mini-flower-print umbrella;Blümchenschirm;paraguas florecitas;paraguas florecitas;parapluie imprimé fleurettes;parapluie imprimé fleurettes;ombrello fiorellini;bloemenparaplu;碎花纹雨伞;碎花雨傘;こばながらのかさ;잔꽃무늬 우산;зонт в мелкий цветочек
Umbrella_06915;black lace umbrella;black lace umbrella;Spitzenschirm;paraguas de encaje;paraguas de encaje;ombrelle dentelle noire;ombrelle dentelle noire;ombrello ricami nero;zwarte kanten paraplu;黑色蕾丝雨伞;黑色蕾絲雨傘;くろいレースのかさ;검정 레이스 우산;черный кружевной зонт
Umbrella_06916;striped umbrella;striped umbrella;Streifenschirm;paraguas rayas;paraguas a rayas;parapluie à rayures;parapluie à rayures;ombrello a righe;gestreepte paraplu;条纹雨伞;條紋雨傘;ストライプのかさ;줄무늬 우산;зонт в полоску
Umbrella_06917;tartan-check umbrella;tartan-check umbrella;Schottenmusterschirm;paraguas tartán;paraguas escocés;parapluie tartan;parapluie tartan;ombrello tartan;tartanparaplu;苏格兰格纹雨伞;蘇格蘭格紋雨傘;タータンチェックのかさ;타탄 체크 우산;зонт в клетку
Umbrella_06918;patterned vinyl umbrella;patterned vinyl umbrella;Pünktchen-Plastikschirm;paraguas de vinilo a topos;paraguas de vinilo a lunares;parapluie vinyle à motifs;parapluie vinyle à motifs;ombrello plastica decorato;vinylparaplu met patroon;花纹透明雨伞;花紋透明雨傘;ガラいりビニールがさ;도트 무늬 비닐 우산;зонт из винила с узором
Umbrella_06919;bat umbrella;bat umbrella;Flederschirm;paraguas negro;paraguas negro;parapluie noir;parapluie noir;ombrello tetro;vleermuisparaplu;蝙蝠雨伞;蝙蝠雨傘;こうもりがさ;박쥐 우산;чернокрылый зонт
Umbrella_06923;camo umbrella;camo umbrella;Tarnschirm;paraguas camuflaje;paraguas camuflaje;parapluie camouflage;parapluie camouflage;ombrello mimetico;camouflageparaplu;迷彩雨伞;迷彩雨傘;めいさいのかさ;밀리터리 우산;камуфляжный зонт
Umbrella_06924;ghost umbrella;ghost umbrella;Geisterschirm;paraguas amuleto;paraguas amuleto;parapluie bonze;parapluie bonze;ombrello fantasma;spookparaplu;晴天娃娃雨伞;晴天娃娃雨傘;てるてるぼうずのかさ;해나와라 우산;призрачный зонт
Umbrella_06925;frog umbrella;frog umbrella;Froschschirm;paraguas rana;paraguas rana;parapluie grenouille;parapluie grenouille;ombrello rana;kikkerparaplu;青蛙雨伞;青蛙雨傘;カエルのかさ;개구리 우산;лягушачий зонт
Umbrella_06926;candy umbrella;candy umbrella;Karoschirm;paraguas vichy;paraguas vichy;parapluie vichy fraise;parapluie vichy fraise;ombrello caramella;roze geruite paraplu;草莓嘉顿格雨伞;草莓嘉頓格雨傘;いちごギンガムのかさ;딸기 깅엄 우산;зонт в леденцовых тонах
Umbrella_07164;pink umbrella;pink umbrella;Pink-Schirm;paraguas rosa;paraguas rosa;parapluie rose;parapluie rose;ombrello rosa;roze paraplu;粉红色纯色雨伞;粉紅色無圖案雨傘;ピンクのむじのかさ;핑크 우산;розовый зонт
Umbrella_07165;vinyl umbrella;vinyl umbrella;Plastikschirm;paraguas de vinilo;paraguas de vinilo;parapluie vinyle;parapluie vinyle;ombrello di plastica;vinylparaplu;透明雨伞;透明雨傘;ビニールがさ;비닐 우산;зонт из винила
