label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Axe_02100;axe;axe;Axt;hacha;hacha;hache;hache;ascia;bijl;斧头;斧頭;オノ;도끼;топор
Axe_03068;flimsy axe;flimsy axe;Wackelaxt;hacha endeble;hacha frágil;hache rudimentaire;hache rudimentaire;ascia fragile;breekbare bijl;简陋斧头;簡陋斧頭;ショボいオノ;엉성한 도끼;непрочный топор
Axe_05856;stone axe;stone axe;Steinaxt;hacha de piedra;hacha de piedra;hache de pierre;hache de pierre;ascia di pietra;stenen bijl;石斧头;石斧頭;いしのオノ;돌도끼;каменный топор
Axe_09617;golden axe;golden axe;Goldaxt;hacha de oro;hacha de oro;hache dorée;hache dorée;ascia d'oro;gouden bijl;金色斧头;金色斧頭;きんのオノ;금도끼;золотой топор
Axe_12615;worn axe;worn axe;Morschaxt;hacha maltrecha;hacha maltrecha;hache émoussée;hache émoussée;ascia consumata;versleten bijl;快要坏掉的斧头;快壞掉的斧頭;こわれかけのオノ;튼튼하지 않은 도끼;видавший виды топор
ChangeStick_02544;star wand;star wand;Sternenstab;varita estrella;varita estrella;baguette étoile;baguette étoile;bacchetta stella;sterrenstaf;星星棒;星星棒;スターなステッキ;별 지팡이;палочка со звездой
ChangeStick_05083;hyacinth wand;hyacinth wand;Hyazinthenstab;varita jacinto;varita jacinto;baguette jacinthe;baguette jacinthe;bacchetta giacinto;hyacintenstaf;风信子棒;風信子棒;ヒヤシンスのステッキ;히아신스 지팡이;палочка с гиацинтом
ChangeStick_05084;windflower wand;windflower wand;Anemonenstab;varita anémona;varita anémona;baguette anémone;baguette anémone;bacchetta anemone;anemonenstaf;银莲花棒;銀蓮花棒;アネモネのステッキ;아네모네 지팡이;палочка с ветреницей
ChangeStick_05085;tulip wand;tulip wand;Tulpenstab;varita tulipán;varita tulipán;baguette tulipe;baguette tulipe;bacchetta tulipano;tulpenstaf;郁金香棒;鬱金香棒;チューリップのステッキ;튤립 지팡이;палочка с тюльпаном
ChangeStick_05091;pansy wand;pansy wand;Veilchenstab;varita viola;varita viola;baguette pensée;baguette pensée;bacchetta viola;viooltjesstaf;三色堇棒;三色堇棒;パンジーのステッキ;팬지 지팡이;палочка с фиалкой
