label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Bromide_06426;Frame;Frame;Rahmen;Marco;Marco;Cadre;Cadre;Tipo;Lijst;边框;邊框;フレーム;프레임;Рамка
ChangeStick_07588;Mushroom type;Mushroom type;Pilzart;Hongo;Hongo;Type de champignon;Type de champignon;Tipo di fungo;Paddenstoelsoort;蘑菇品种;蘑菇品種;キノコの品種;버섯 품종;Тип гриба
DoorDeco_04377;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_04751;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_04752;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_04764;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_05310;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_05716;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_05717;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_05718;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
DoorDeco_05719;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
FishingRod_02377;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
FishingRod_08471;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
FishingRod_08472;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
FishingRod_08473;Color;Color;Farbe;Color;Color;Couleur;Couleur;Colore;Kleur;颜色;顏色;カラー;컬러;Цвет
Ftr_00080;Paint color;Paint color;Farbe;Color de la pintura;Color de la pintura;Coloris;Coloris;Modello;Lak;油漆;油漆;ペイント;페인트;Цвет краски
Ftr_00083;Paint color;Paint color;Farbe;Color de la pintura;Color de la pintura;Coloris;Coloris;Modello;Lak;油漆;油漆;ペイント;페인트;Цвет краски
Ftr_00088;Paint color;Paint color;Farbe;Color de la pintura;Color de la pintura;Coloris;Coloris;Modello;Lak;油漆;油漆;ペイント;페인트;Цвет краски
Ftr_00131;Variation;Variation;Variante;Variación;Variación;Variation;Variation;Colore;Variant;种类;種類;バリエーション;변형;Вариант
Ftr_00144;Cover design;Cover design;Design;Diseño de la tapa;Diseño de la tapa;Type de plaque;Type de plaque;Design del tombino;Dekselontwerp;盖子设计;蓋子設計;フタのデザイン;뚜껑 디자인;Крышка
Ftr_00331;Body color;Body color;Hauptfarbe;Color principal;Color principal;Couleur principale;Couleur principale;Colore;Kleur;主体颜色;主體顏色;ボディカラー;몸체 컬러;Цвет корпуса
Ftr_00333;Paint color;Paint color;Farbe;Color de la pintura;Color de la pintura;Coloris;Coloris;Modello;Lak;油漆;油漆;ペイント;페인트;Цвет краски
Ftr_00383;Body;Body;Korpus;Color;Color;Modèle;Modèle;Modello;Body;主体;主體;ボディ;몸체;Корпус
Ftr_00530;Season;Season;Jahreszeit;Diseño;Diseño;Saison;Saison;Stagione;Seizoen;季节;季節;季節;계절;Время года
Ftr_00531;Season;Season;Jahreszeit;Diseño;Diseño;Saison;Saison;Stagione;Seizoen;季节;季節;季節;계절;Время года
Ftr_00532;Season;Season;Jahreszeit;Diseño;Diseño;Saison;Saison;Stagione;Seizoen;季节;季節;季節;계절;Время года
Ftr_00533;Season;Season;Jahreszeit;Diseño;Diseño;Saison;Saison;Stagione;Seizoen;季节;季節;季節;계절;Время года
Ftr_00669;Body;Body;Korpus;Color;Color;Modèle;Modèle;Modello;Body;主体;主體;ボディ;몸체;Корпус
Ftr_00676;Stone;Stone;Steinart;Piedra;Piedra;Type de pierre;Type de pierre;Pietra;Steensoort;石材;石材;石材;석재;Камень
Ftr_00677;Bamboo;Bamboo;Bambusart;Bambú;Bambú;Type de bambou;Type de bambou;Tipo di bambù;Bamboe;竹子种类;竹子種類;竹の種類;대나무 품종;Бамбук
Ftr_00682;Design;Design;Design;Diseño;Diseño;Modèle;Modèle;Design;Ontwerp;设计;設計;デザイン;디자인;Рисунок
Ftr_00685;Variation;Variation;Variante;Variación;Variación;Variation;Variation;Colore;Variant;种类;種類;バリエーション;변형;Вариант
Ftr_00688;Variation;Variation;Variante;Variación;Variación;Variation;Variation;Colore;Variant;种类;種類;バリエーション;변형;Вариант
Ftr_00690;Variation;Variation;Variante;Variación;Variación;Variation;Variation;Colore;Variant;种类;種類;バリエーション;변형;Вариант
