label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
FishToy_06929;crucian carp model;crucian carp model;Karauschenmodell;figura de carpín;figura de carpín;modèle de carassin;modèle de carassin;replica di carassio;modelkroeskarper;鲫鱼模型;鯽魚模型;フナのもけい;붕어 모형;модель карася
FishToy_06930;goldfish model;goldfish model;Goldfischmodell;figura de pez dorado;figura de pez dorado;modèle de poisson rouge;modèle de poisson rouge;replica di pesce rosso;modelgoudvis;金鱼模型;金魚模型;キンギョのもけい;금붕어 모형;модель золотой рыбки
FishToy_06931;bitterling model;bitterling model;Bitterlingsmodell;figura de amarguillo;figura de amarguillo;modèle de bouvière;modèle de bouvière;replica di rodeo;modelbittervoorn;红目鲫模型;紅目鯽模型;タナゴのもけい;납줄개 모형;модель горчака
FishToy_06932;horse mackerel model;horse mackerel model;Makrelenmodell;figura de jurel;figura de jurel;modèle de chinchard;modèle de chinchard;replica di sgombro;modelhorsmakreel;竹荚鱼模型;竹筴魚模型;アジのもけい;전갱이 모형;модель ставриды
FishToy_06933;angelfish model;angelfish model;Skalarmodell;figura de pez ángel;figura de pez ángel;modèle de poisson-ange;modèle de poisson-ange;replica di pesce angelo;modelmaanvis;神仙鱼模型;神仙魚模型;エンゼルフィッシュのもけい;천사어 모형;модель скалярии
FishToy_06935;arowana model;arowana model;Arowanamodell;figura de arowana;figura de arowana;modèle d'arowana;modèle d'arowana;replica di arowana;modelarowana;骨舌鱼模型;骨舌魚模型;アロワナのもけい;아로와나 모형;модель араваны
FishToy_06936;sweetfish model;sweetfish model;Ayumodell;figura de ayu;figura de ayu;modèle d'ayu;modèle d'ayu;replica di ayu;model-ayu;香鱼模型;香魚模型;アユのもけい;은어 모형;модель айю
FishToy_06937;betta model;betta model;Kampffischmodell;figura de betta;figura de betta;modèle de combattant;modèle de combattant;replica di betta;model-Siamese-kempvis;斗鱼模型;鬥魚模型;ベタのもけい;베타 모형;модель сиамского петушка
FishToy_06938;black bass model;black bass model;Barschmodell;figura de perca;figura de perca;modèle de bar;modèle de bar;replica di boccalone;modelforelbaars;黑鲈鱼模型;黑鱸魚模型;ブラックバスのもけい;큰입배스 모형;модель большерот. окуня
FishToy_06939;bluegill model;bluegill model;Sonnenbarschmodell;figura de pez sol;figura de pez sol;modèle de crapet;modèle de crapet;replica di pesce persico;modelzonnebaars;蓝腮太阳鱼模型;藍鰓太陽魚模型;ブルーギルのもけい;블루길 모형;модель солнечника
FishToy_06940;football fish model;football fish model;Anglerfischmodell;figura de pez balón;figura de pez balón;modèle de poisson lanterne;modèle de poisson-lanterne;replica di pesce abissale;modelvoetbalvis;灯笼鱼模型;燈籠魚模型;チョウチンアンコウのもけい;초롱아귀 모형;модель гимантолофа
FishToy_06941;butterfly fish model;butterfly fish model;Falterfischmodell;figura de pez mariposa;figura de pez mariposa;modèle de poisson-papillon;modèle de poisson-papillon;replica di pesce farfalla;modelkoraalvlinder;耳带蝴蝶鱼模型;耳帶蝴蝶魚模型;チョウチョウウオのもけい;나비고기 모형;модель рыбы-бабочки
FishToy_06942;pop-eyed goldfish model;pop-eyed goldfish model;Teleskopaugenmodell;figura de pez telescopio;figura de pez telescopio;modèle de cyprin doré;modèle de cyprin doré;replica di pesce telescopio;modeltelescoopooggoudvis;龙睛金鱼模型;龍睛金魚模型;デメキンのもけい;툭눈금붕어 모형;модель рыбы-телескопа
FishToy_06943;barreleye model;barreleye model;Glaskopffischmodell;figura pez cab. transparente;figura pez cab. transparente;modèle de macropinna;modèle de revenant;replica di macropinna;modelhemelkijker;太平洋桶眼鱼模型;太平洋桶眼魚模型;デメニギスのもけい;데메니기스 모형;модель опистопрокта
FishToy_06944;loach model;loach model;Bachschmerlenmodell;figura de locha;figura de locha;modèle de loche d'étang;modèle de loche d'étang;replica di cobite;modelmodderkruiper;泥鳅模型;泥鰍模型;ドジョウのもけい;미꾸라지 모형;модель вьюна
FishToy_06945;nibble fish model;nibble fish model;Saugbarbenmodell;figura de pez doctor;figura de pez doctor;modèle de poisson docteur;modèle de poisson docteur;replica di garra rufa;modelknabbelvisje;温泉医生鱼模型;溫泉醫生魚模型;ドクターフィッシュのもけい;닥터피시 모형;модель рыбы-доктора
FishToy_06946;freshwater goby model;freshwater goby model;Flussgrundelmodell;figura de gobio de río;figura de gobio de río;modèle de gobie;modèle de gobie;replica di ghiozzo;modelzoetwatergrondel;塘鳢鱼模型;塘鱧魚模型;ドンコのもけい;동사리 모형;модель одонтобутиса
FishToy_06949;ray model;ray model;Rochenmodell;figura de raya;figura de raya;modèle de raie;modèle de raie;replica di razza;modelrog;鳐鱼模型;魟魚模型;エイのもけい;가오리 모형;модель красн. хвостокола
FishToy_06950;saddled bichir model;saddled bichir model;Flösselhechtmodell;figura de bichir ensillado;figura de bichir ensillado;modèle de bichir;modèle de bichir;replica di polipteride;modelkwastsnoek;恩氏多鳍鱼模型;恩氏多鰭魚模型;エンドリケリーのもけい;엔드리케리 모형;модель многопера Эндлих.
