label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Ftr_00080;clackercart;clackercart;Spielwagen;carrito carraca;carrito carraca;chariot de marche;chariot de marche;macchinina primi passi;loopwagen;学步推车;學步推車;ておしぐるま;장난감차;тележка-каталка
Ftr_00083;rocking horse;rocking horse;Schaukelpferd;caballo balancín;caballito de madera;cheval à bascule;cheval à bascule;cavalluccio;hobbelpaard;木马;木馬;もくば;목마;конь-качалка
Ftr_00085;train set;train set;Modelleisenbahn;tren eléctrico;tren eléctrico;train miniature;train miniature;pista trenino;treinset;铁道模型;鐵道模型;てつどうもけい;철도 모형;железная дорога
Ftr_00086;elephant slide;elephant slide;Elefantenrutsche;tobogán elefante;tobogán elefante;éléphoboggan;glissade éléphant;proboscivolo;olifantglijbaan;大象溜滑梯;大象溜滑梯;ゾウのすべりだい;코끼리 미끄럼틀;горка-слон
Ftr_00088;ringtoss;ringtoss;Ringwurfspiel;juego de lanzar aros;juego de lanzar aros;jeu lancer d'anneaux;jeu lancer d'anneaux;gioco degli anelli;ringwerpspel;套圈圈;套圈圈;わなげ;고리 던지기;игра с кольцами
Ftr_00109;moss ball;moss ball;Moosgesteck;bola de musgo;bola de musgo;boule de mousse;boule de mousse;vaso di muschio;mosbal;青苔球;青苔球;こけだま;이끼 볼;кокэдама
Ftr_00131;lucky cat;lucky cat;Glückskatze;gato de la suerte;gato de la suerte;chat fétiche;chat fétiche;gatto della fortuna;gelukskat;招财猫;招財貓;まねきねこ;복고양이;кот удачи
Ftr_00132;succulent plant;succulent plant;Sukkulente;aloe pequeño;aloe pequeño;pot de succulentes;pot de succulentes;pianta grassa;vetplant;多肉植物;多肉植物;たにくしょくぶつ;다육 식물;суккуленты
Ftr_00144;manhole cover;manhole cover;Kanaldeckel;tapa de cloaca;tapa de cloaca;plaque d'égout;plaque d'égout;tombino;putdeksel;人孔盖;人孔蓋;マンホール;맨홀;крышка люка
Ftr_00146;cone;cone;Absperrhütchen;cono;cono;cône;cône;cono;verkeerskegel;三角锥;三角錐;パイロン;칼라콘;конус
Ftr_00287;exercise bike;exercise bike;Fahrradergometer;bicicleta estática;bicicleta estática;vélo d'appartement;vélo d'appartement;cyclette;hometrainer;健身脚踏车;健身腳踏車;エクササイズバイク;자전거 머신;велосипед-тренажер
Ftr_00290;treadmill;treadmill;Laufband;cinta de correr;cinta de correr;tapis roulant;tapis roulant;tapis roulant;loopband;跑步机;跑步機;ランニングマシン;러닝 머신;беговая дорожка
Ftr_00330;barbecue;barbecue;Grill;barbacoa;parrilla;barbecue;barbecue;barbecue;barbecue;烤肉炉;烤肉爐;バーベキューグリル;바비큐 그릴;гриль
Ftr_00331;birdbath;birdbath;Vogeltränke;bañadero para pájaros;fuente para pájaros;bassin à oiseaux;bassin à oiseaux;vaschetta per uccelli;vogelbad;小鸟水盆;小鳥水盆;バードバス;수반;поилка для птиц
Ftr_00333;birdhouse;birdhouse;Vogelhaus;casita para pájaros;casita para pájaros;abri à oiseau;abri à oiseau;casetta per uccelli;vogelhuis;鸟巢屋;鳥巢屋;すばこ;새집;скворечник
Ftr_00335;Mr. Flamingo;Mr. Flamingo;Mr. Flamingo;Sr. Flamenco;Sr. Flamenco;M. Flamingo;M. Flamingo;fenicottero 1;meneer Flamingo;雄火烈鸟;雄紅鶴;おすのフラミンゴ;수컷 플라밍고;г-н Фламинго
Ftr_00336;Mrs. Flamingo;Mrs. Flamingo;Mrs. Flamingo;Sra. Flamenco;Sra. Flamenco;Mme Flamingo;Mme Flamingo;fenicottero 2;mevrouw Flamingo;雌火烈鸟;雌紅鶴;めすのフラミンゴ;암컷 플라밍고;г-жа Фламинго
Ftr_00338;lawn mower;lawn mower;Rasenmäher;cortacésped;cortadora de césped;tondeuse à gazon;tondeuse à gazon;tagliaerba;grasmaaier;割草机;割草機;しばかりき;잔디 깎기;газонокосилка
Ftr_00343;tiki torch;tiki torch;Fackel;antorcha;antorcha;flambeau;flambeau;torcia;tuinfakkel;火把;火把;たいまつ;횃불;факел
Ftr_00383;acoustic guitar;acoustic guitar;Akustikgitarre;guitarra acústica;guitarra acústica;guitare acoustique;guitare acoustique;chitarra acustica;akoestische gitaar;木吉他;木吉他;アコースティックギター;어쿠스틱기타;акустическая гитара
