label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
RoomFloor_04797;basement flooring;basement flooring;Kellerboden;suelo sótano;suelo sótano;sol de cave;sol de cave;pavimento cantina;keldervloer;地下室地板;地下室地板;ちかしつのゆか;지하실 바닥;пол из булыжников
RoomFloor_04950;ship deck;ship deck;Schiffsdeck;suelo cubierta;suelo cubierta;sol pont de navire;sol pont de navire;pavimento ponte di nave;scheepsdekvloer;甲板地板;甲板地板;かんぱんのゆか;갑판 바닥;корабельный пол
RoomFloor_04951;concrete flooring;concrete flooring;Zementboden;suelo hormigón;suelo cemento;sol en béton;sol en béton;pavimento grezzo;betonvloer;混凝土地板;混凝土地板;コンクリートのゆか;콘크리트 바닥;бетонный пол
RoomFloor_04952;green rubber flooring;green rubber flooring;Grüngummiboden;suelo de caucho verde;suelo de caucho verde;sol en caoutchouc vert;sol en caoutchouc vert;pavimento in gomma verde;groene rubbervloer;绿色胶地板;綠色塑膠地板;グリーンラバーのゆか;그린 고무 바닥;зеленый резиновый пол
RoomFloor_04953;arabesque flooring;arabesque flooring;Arabeskenboden;suelo arabesco;suelo arabesco;sol arabesques;sol arabesques;pavimento arabescato;arabeske vloer;阿拉伯式地板;阿拉伯式地板;アラベスクなゆか;아라베스크 바닥;пол с арабесками
RoomFloor_04954;blue rubber flooring;blue rubber flooring;Blaugummiboden;suelo de caucho azul;suelo de caucho azul;sol en caoutchouc bleu;sol en caoutchouc bleu;pavimento in gomma blu;blauwe rubbervloer;蓝色胶地板;藍色塑膠地板;ブルーラバーのゆか;블루 고무 바닥;синий резиновый пол
RoomFloor_04955;jointed-mat flooring;jointed-mat flooring;Puzzlemattenboden;suelo esterilla combinada;suelo esterilla combinada;sol dalles imbriquées;sol dalles imbriquées;pavimento a tappetini uniti;gecombineerde matten;拼接地垫地板;巧拼地墊地板;ジョイントマットのゆか;체크 매트 바닥;пол-пазл из циновок
RoomFloor_04956;pastel puzzle flooring;pastel puzzle flooring;Pastell-Puzzleboden;suelo rompecabezas pastel;suelo rompecabezas pastel;sol puzzle pastel;sol casse-tête pastel;pavimento puzzle pastello;pastelkleurige puzzelvloer;粉嫩巧拼地板;粉嫩巧拼地板;パステルパズルのゆか;파스텔 퍼즐 바닥;пастельный пол-пазл
RoomFloor_04957;colorful puzzle flooring;colorful puzzle flooring;Bunt-Puzzleboden;suelo rompecabezas alegre;suelo rompecabezas alegre;sol puzzle multicolore;sol casse-tête multicolore;pavimento puzzle variopinto;kleurrijke puzzelvloer;彩色巧拼地板;彩色巧拼地板;カラフルパズルのゆか;컬러풀 퍼즐 바닥;цветной пол-пазл
RoomFloor_04958;rose flooring;rose flooring;Rosenblütenboden;suelo rosas;suelo rosas;sol roses;sol roses;pavimento con rose;rozenvloer;玫瑰地毯;玫瑰地板;バラのじゅうたん;장미 카펫 바닥;пол с розами
RoomFloor_04959;leopard-print flooring;leopard-print flooring;Leopardenmusterboden;suelo leopardo;suelo leopardo;sol léopard;sol léopard;pavimento maculato;luipaardvloer;豹纹地板;豹紋地板;レオパードなゆか;표범 무늬 바닥;леопардовый пол
RoomFloor_04960;steel flooring;steel flooring;Eisenbelag;suelo acero;suelo acero;sol en acier;sol en acier;pavimento acciaio;stalen vloer;铁板地板;鐵板地板;てっぱんのゆか;철판 바닥;стальной пол
RoomFloor_04961;giraffe-print flooring;giraffe-print flooring;Giraffenmusterboden;suelo jirafa;suelo jirafa;sol girafe;sol girafe;pavimento giraffa;giraffevloer;长颈鹿纹地板;長頸鹿紋地板;ジラフなゆか;기린 무늬 바닥;пол с пятнами жирафа
RoomFloor_04962;zebra-print flooring;zebra-print flooring;Zebramusterboden;suelo cebra;suelo cebra;sol zèbre;sol zèbre;pavimento zebrato;zebravloer;斑马纹地板;斑馬紋地板;ゼブラなゆか;얼룩말 무늬 바닥;пол с полосками зебры
RoomFloor_04963;stripe flooring;stripe flooring;Streifenboden;suelo rayas;suelo rayas;sol rayures;tapis rayures;pavimento strisce;gestreepte vloer;条纹地板;條紋地板;ストライプなゆか;스트라이프 바닥;полосатый пол
