label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Picture_00002;scenic painting;scenic painting;Wintergemälde;cuadro invernal;cuadro invernal;toile hivernale;toile hivernale;quadro invernale;winters schilderij;优美的名画;優美的名畫;みごとなめいが;뛰어난 명화;живописная картина
Picture_00006;graceful painting;graceful painting;Anmutsgemälde;retrato oriental;retrato oriental;toile gracieuse;toile gracieuse;quadro armonioso;sierlijk schilderij;端庄的名画;端莊的名畫;しなやかなめいが;절제된 명화;изящная картина
Picture_00010;quaint painting;quaint painting;Altertumsgemälde;retrato holandés;retrato holandés;toile charmante;toile charmante;quadro buffo;traditioneel schilderij;平静的名画;平靜的名畫;おちついためいが;침착한 명화;старинная картина
Picture_00014;basic painting;basic painting;Einfachgemälde;retrato heroico;retrato heroico;toile classique;toile classique;quadro semplice;klassiek schilderij;勇敢的名画;勇敢的名畫;いさましいめいが;용감한 명화;обычная картина
Picture_00018;famous painting;famous painting;Berühmtgemälde;retrato italiano;retrato italiano;toile célèbre;toile célèbre;quadro famoso;beroemd schilderij;有名的名画;有名的名畫;ゆうめいなめいが;유명한 명화;знаменитая картина
Picture_00020;perfect painting;perfect painting;Perfektgemälde;bodegón;cuadro perfecto;toile parfaite;toile parfaite;quadro perfetto;kleurrijk schilderij;厉害的名画;厲害的名畫;すばらしいめいが;훌륭한 명화;совершенная картина
Picture_00024;serene painting;serene painting;Edelgemälde;retrato regio;retrato regio;toile royale;toile royale;quadro simbolico;sereen schilderij;婀娜的名画;婀娜的名畫;たおやかなめいが;아늑한 명화;безмятежная картина
Picture_00028;wistful painting;wistful painting;Perlengemälde;retrato perla;retrato perla;toile nacrée;toile nacrée;quadro realista;melancholisch schilderij;漂亮的名画;漂亮的名畫;すてきなめいが;근사한 명화;мечтательная картина
Picture_00032;moving painting;moving painting;Schöngemälde;cuadro alegórico;cuadro alegórico;toile émouvante;toile émouvante;quadro colorato;symbolisch schilderij;动人的名画;動人的名畫;きれいなめいが;예쁜 명화;трогательная картина
Picture_00034;warm painting;warm painting;Warmgemälde;cuadro clásico;cuadro clásico;toile radieuse;toile radieuse;quadro classico;verleidelijk schilderij;舒适的名画;舒適的名畫;いいかんじのめいが;느낌이 좋은 명화;романтичная картина
