label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
BridgeItem_05912;stone bridge;stone bridge;Steinbrücke;puente de piedra;puente de piedra;pont de pierre;pont de pierre;ponte di pietra;stenen brug;石桥;石橋;いしのはし;돌 다리;каменный мост
BridgeItem_05913;suspension bridge;suspension bridge;Hängebrücke;puente colgante;puente colgante;pont suspendu;pont suspendu;ponte sospeso;hangbrug;吊桥;吊橋;つりばし;출렁다리;подвесной мост
BridgeItem_05914;wooden bridge;wooden bridge;Holzbrücke;puente de tablones;puente de tablones;pont en bois;pont en bois;ponte di legno;houten brug;木桥;木橋;もくせいのはし;목제 다리;деревянный мост
BridgeItem_05915;brick bridge;brick bridge;Backsteinbrücke;puente de ladrillo;puente de ladrillo;pont en brique;pont en brique;ponte di mattoni;bakstenen brug;砖桥;磚塊橋;レンガのはし;벽돌 다리;кирпичный мост
BridgeItem_05916;zen bridge;zen bridge;Japan-Brücke;puente de madera;puente de madera;pont zen;pont zen;ponte giapponese;zenbrug;和风桥;和風橋;わふうのはし;동양풍 다리;мост «Дзен»
BridgeItem_05917;log bridge;log bridge;Baumstammbrücke;puente de troncos;puente de troncos;pont en rondins;pont en rondins;ponte di tronchi;boomstammenbrug;圆木桥;圓木橋;まるたのはし;통나무 다리;мост из поленьев
BridgeItem_05918;red zen bridge;red zen bridge;Rot-Japan-Brücke;puente de madera rojo;puente de madera rojo;pont zen rouge;pont zen rouge;ponte giapponese rosso;rode zenbrug;红色和风桥;紅色和風橋;あかいわふうのはし;빨간 동양풍 다리;красный мост «Дзен»
BridgeItem_05919;iron bridge;iron bridge;Eisenbrücke;puente de hierro;puente de hierro;pont en fer;pont en fer;ponte di ferro;ijzeren brug;铁桥;鐵橋;てつのはし;철제 다리;железный мост
SlopeItem_05863;stone staircase;stone staircase;Steintreppe;escalera de piedra;escalera de piedra;escalier en pierre;escalier en pierre;scala di pietra;stenen trap;石台阶;石樓梯;いしのかいだん;돌 계단;каменная лестница
SlopeItem_05864;red steel staircase;red steel staircase;Rot-Stahltreppe;escalera de acero rojo;escalera de acero rojo;escalier en acier rouge;escalier en acier rouge;scala di acciaio rosso;rode stalen trap;红色钢筋台阶;紅色鋼筋樓梯;あかいてっこつかいだん;빨간 철골 계단;красная стальн. лестница
SlopeItem_05865;white-plank ramp;white-plank ramp;Weiß-Bretterrampe;rampa de tablas blancas;rampa de tablas blancas;pente planches blanches;pente planches blanches;rampa di assi bianche;witte houten helling;白色木板斜坡;白色木板斜坡;しろいいたのスロープ;하얀 널빤지 슬로프;рампа из белых досок
SlopeItem_05866;natural ramp;natural ramp;Hangpfad;rampa natural;rampa natural;pente naturelle;pente naturelle;rampa naturale;natuurlijke helling;天然斜坡;自然風斜坡;ナチュラルなスロープ;내추럴 슬로프;естественный склон
SlopeItem_05867;log staircase;log staircase;Baumstammtreppe;escalera de troncos;escalera de troncos;escalier en rondins;escalier en rondins;scala di tronchi;boomstammentrap;圆木台阶;圓木樓梯;まるたのかいだん;통나무 계단;лестница из поленьев
SlopeItem_05868;blue-plank ramp;blue-plank ramp;Blau-Bretterrampe;rampa de tablas azules;rampa de tablas azules;pente planches bleues;pente planches bleues;rampa di assi blu;blauwe houten helling;蓝色木板斜坡;藍色木板斜坡;あおいいたのスロープ;파란 널빤지 슬로프;рампа из синих досок
SlopeItem_05869;blue steel staircase;blue steel staircase;Blau-Stahltreppe;escalera de acero azul;escalera de acero azul;escalier en acier bleu;escalier en acier bleu;scala di acciaio blu;blauwe stalen trap;蓝色钢筋台阶;藍色鋼筋樓梯;あおいてっこつかいだん;파란 철골 계단;синяя стальная лестница
SlopeItem_05870;brick staircase;brick staircase;Backsteintreppe;escalera de ladrillos;escalera de ladrillos;escalier en brique;escalier en brique;scala di mattoni;bakstenen trap;砖台阶;磚塊樓梯;レンガのかいだん;벽돌 계단;кирпичная лестница
