label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
CraftPhoneCase_08760_0;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
CraftPhoneCase_08760_1;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
CraftPhoneCase_08760_2;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
CraftPhoneCase_08760_3;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
CraftPhoneCase_08760_4;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
CraftPhoneCase_08760_5;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
CraftPhoneCase_08760_6;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
CraftPhoneCase_08760_7;Beige;Beige;Beige;Beis;Beige;Beige;Beige;Beige;Beige;米色;米色;ベージュ;베이지;Бежевый
Ftr_00725_0;Plain;Plain;Schlicht;Sencillo;Sencillo;Uni;Uni;Semplice;Kaal;无图案;無圖案;無地;무지;Стандарт
Ftr_00725_1;Spring;Spring;Frühling;Primavera;Primavera;Printemps;Printemps;Primavera;Lente;春;春;春;봄;Весна
Ftr_00725_2;Summer;Summer;Sommer;Verano;Verano;Été;Été;Estate;Zomer;夏;夏;夏;여름;Лето
Ftr_00725_3;Fall;Fall;Herbst;Otoño;Otoño;Automne;Automne;Autunno;Herfst;秋;秋;秋;가을;Осень
Ftr_00725_4;Winter;Winter;Winter;Invierno;Invierno;Hiver;Hiver;Inverno;Winter;冬;冬;冬;겨울;Зима
Ftr_00833_0;None;None;Ohne;Ninguna;Ninguna;Sans;Sans;Nessun adesivo;Geen;无;無;なし;없음;Без наклеек
Ftr_00833_1;Cool;Cool;Cool;Moderna;Moderna;Cool;Cool;Spavaldo;Cool;冷色;清新;クール;쿨;Стильные наклейки
Ftr_00833_2;Cute;Cute;Niedlich;Adorable;Adorable;Mignons;Mignons;Grazioso;Schattig;可爱色;可愛;キュート;큐트;Милые наклейки
Ftr_00833_3;Pop;Pop;Pop;Pop;Pop;Pop;Pop;Pop;Spetterend;缤纷色;繽紛;ポップ;팝;Яркие наклейки
Ftr_00833_4;Notes;Notes;Notizzettel;Notas;Notas;Pense-bêtes;Pense-bêtes;Messaggi;Notities;信息;訊息;メッセージ;메시지;Заметки
