label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Bromide_06426;Cyrano's photo;Cyrano's photo;Foto von Theo;foto de Cirano;foto de Cirano;photo de Cyrano;photo de Cyrano;foto di Cirano;foto van Cyrano;阳明的照片;陽明的照片;さくらじまのしゃしん;사지마의 사진;фото Сирано
Bromide_06427;Curt's photo;Curt's photo;Foto von Kurt;foto de Gorbaché;foto de Gorbaché;photo de Curt;photo de Curt;foto di Curt;foto van Curt;铁熊的照片;鐵熊的照片;ガンテツのしゃしん;뚝심의 사진;фото Керта
Bromide_06428;Zell's photo;Zell's photo;Foto von Walter;foto de Corvilo;foto de Corvilo;photo de Régis;photo de Régis;foto di Antilio;foto van Zell;森森的照片;森森的照片;ネルソンのしゃしん;넬슨의 사진;фото Зелла
Bromide_06429;Bruce's photo;Bruce's photo;Foto von Oswald;foto de Aristo;foto de Aristo;photo de Boubou;photo de Boubou;foto di Arturo;foto van Bruce;布鹿斯的照片;布鹿斯的照片;ブルースのしゃしん;브루스의 사진;фото Брюса
Bromide_06430;Deirdre's photo;Deirdre's photo;Foto von Dina;foto de Venada;foto de Venada;photo de Bichoune;photo de Bichoune;foto di Daria;foto van Deirdre;娣雅的照片;娣雅的照片;ナディアのしゃしん;나디아의 사진;фото Дейрдре
Bromide_06431;Lopez's photo;Lopez's photo;Foto von Eckart;foto de Agreste;foto de Agreste;photo de Jon;photo de Jon;foto di Lopez;foto van Lopez;汤姆的照片;湯姆的照片;トムソンのしゃしん;톰슨의 사진;фото Лопеса
Bromide_06432;Fuchsia's photo;Fuchsia's photo;Foto von Selina;foto de Rosalina;foto de Rosalina;photo de Rosanne;photo de Rosanne;foto di Fuxia;foto van Fuchsia;洁西卡的照片;潔西卡的照片;ジェシカのしゃしん;제시카의 사진;фото Фуксии
Bromide_06433;Beau's photo;Beau's photo;Foto von Martin;foto de Lope;foto de Lope;photo de Stefaon;photo de Stefaon;foto di Gigi;foto van Beau;彼得的照片;彼得的照片;ペーターのしゃしん;피터의 사진;фото Бью
Bromide_06434;Diana's photo;Diana's photo;Foto von Vroni;foto de Bambina;foto de Bambina;photo de Didi;photo de Didi;foto di Diana;foto van Diana;倪家莉的照片;倪家莉的照片;ナタリーのしゃしん;나탈리의 사진;фото Дианы
Bromide_06435;Erik's photo;Erik's photo;Foto von Erik;foto de Cervasio;foto de Cervasio;photo d'Abraham;photo d'Abraham;foto di Cervasio;foto van Erik;查克的照片;查克的照片;チャックのしゃしん;자끄의 사진;фото Эрика
