label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
CraftPhoneCase_08760;Color;Color;Farbe;Color;Color;Coloris;Coloris;Colore;Ontwerp;颜色;顏色;カラー;컬러;Цвет
Ftr_00725;Paper;Paper;Papier;Diseño;Diseño;Papier;Papier;Carta;Ontwerp;纸拉门;和紙;柄;무늬;Бумага
Ftr_00833;Sticker area;Sticker area;Sticker;Pegatina;Calcomanías;Autocollants;Collants;Adesivi;Stickers;贴纸;貼紙;ステッカー;스티커;Наклейки
Ftr_00941;Flag;Flag;Fähnchen;Frontal;Frontal;Drapeau;Drapeau;Logo;Spandoek;旗子;旗子;フラッグ;플래그;Флажок
Ftr_00950;Sticker area;Sticker area;Sticker;Pegatina;Calcomanía;Autocollants;Collants;Adesivi;Sticker;贴纸;貼紙;ステッカー;스티커;Наклейки
Ftr_01029;Screen;Screen;Papier;Lateral;Lateral;Écran;Couleur;Pannello;Ontwerp;纸拉门;和紙;障子;칸막이;Ширма
Ftr_01032;Magazine;Magazine;Magazinauswahl;Revistas;Revistas;Revues;Revues;Riviste;Tijdschriften;杂志;雜誌;雑誌;잡지;Журнал
Ftr_01499;Ribbon;Ribbon;Schleife;Lazo;Lazo;Ruban;Ruban;Fiocco;Strik;蝴蝶结;蝴蝶結;リボン;리본;Лента
Ftr_01500;Shirt;Shirt;Hemd;Camiseta;Camiseta;Habit;Habit;Maglia;T-shirt;衬衫;上衣;シャツ;셔츠;Футболка
Ftr_01501;Shirt;Shirt;Hemd;Camiseta;Camiseta;Habit;Habit;Maglia;T-shirt;衬衫;上衣;シャツ;셔츠;Футболка
Ftr_01504;Ribbon;Ribbon;Schleife;Lazo;Lazo;Ruban;Ruban;Fiocco;Strik;蝴蝶结;蝴蝶結;リボン;리본;Лента
Ftr_01620;Cloth;Cloth;Material;Lona;Lona;Tissu;Tissu;Tessuto;Ontwerp;面料;布料;布地;원단;Ткань
Ftr_01644;Sticker area;Sticker area;Sticker;Pegatina;Calcomanía;Autocollant;Autocollant;Adesivo;Sticker;贴纸;貼紙;ステッカー;스티커;Наклейки
Ftr_01645;Sticker area;Sticker area;Sticker;Pegatina;Calcomanía;Autocollant;Autocollant;Adesivo;Sticker;贴纸;貼紙;ステッカー;스티커;Наклейки
Ftr_01750;Writing;Writing;Schrift;Tipo de papeles;Tipo de papeles;Type;Type;Facciata dei fogli;Opdruk;纸张正面;紙張正面;紙面;종이;Надписи
Ftr_01778;Drying shirt;Drying shirt;T-Shirt;Camiseta;Camiseta;Type de t-⁠shirt;Type de t-⁠shirt;Maglietta appesa;T-⁠shirt;晾在竿子上的T恤;晾在竿子上的T恤;干しているシャツ;널려 있는 셔츠;Футболка
