label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
RoomWall_04795;common wall;common wall;Normaltapete;pared básica;pared básica;mur ordinaire;mur ordinaire;muro comune;standaardwand;常见墙;常見牆;よくあるかべ;평범한 벽;простая стена
RoomWall_04801;steel-frame wall;steel-frame wall;Eisengittertapete;pared viga de hierro;pared viga de hierro;mur poutres en fer;mur poutres en fer;muro struttura in ferro;wand met stalen balken;钢架墙;鋼筋牆;てっこつのかべ;철근 벽;каркасная стена
RoomWall_04802;pink painted-wood wall;pink painted-wood wall;Rosaholzwand;panelado madera rosa;pared paneles rosa;mur en bois peint rose;mur en bois peint rose;muro a pannelli rosa;roze houten wand;粉红油漆木墙;粉紅油漆木牆;ピンクのペイントウッドのかべ;핑크 페인트 우드 벽;розовая стена из дерева
RoomWall_04803;white painted-wood wall;white painted-wood wall;Weißholzwand;panelado madera blanca;pared paneles blanca;mur en bois peint blanc;mur en bois peint blanc;muro a pannelli bianco;witte houten wand;白色油漆木墙;白色油漆木牆;しろいペイントウッドのかべ;하얀 페인트 우드 벽;белая стена из дерева
RoomWall_04804;brown herringbone wall;brown herringbone wall;Hell-Fischgrätwand;pared espiga clara;pared espinapez marrón;mur à chevrons beige;mur à chevrons beige;muro spina di pesce beige;lichtbruine visgraatwand;茶色人字斜纹墙;茶色人字斜紋牆;ちゃいろいヘリンボーンのかべ;갈색 헤링본 벽;светлая стена-елочка
RoomWall_04805;chocolate herringbone wall;chocolate herringbone wall;Dunkel-Fischgrätwand;pared espiga oscura;pared espinapez chocolate;mur à chevrons chocolat;mur à chevrons chocolat;muro spina di pesce cacao;donkerbruine visgraatwand;深棕色人字斜纹墙;深棕色人字斜紋牆;こげちゃのヘリンボーンのかべ;고동색 헤링본 벽;темная стена-елочка
RoomWall_04806;brown hallway wall;brown hallway wall;Hellbraun-Dielentapete;pared pasillo marrón;pared pasillo marrón;mur hall brun;mur hall brun;muro albergo marrone;lichtbruine halwand;茶色大厅墙;茶色大廳牆;ちゃいろいホールのかべ;갈색 홀 벽;светлая стена «Холл»
RoomWall_04807;chocolate hallway wall;chocolate hallway wall;Dunkelbraun-Dielentapete;pared pasillo chocolate;pared pasillo chocolate;mur hall chocolat;mur hall chocolat;muro albergo cacao;donkerbruine halwand;深棕色大厅墙;深棕色大廳牆;こげちゃのホールのかべ;고동색 홀 벽;темная стена «Холл»
RoomWall_04808;yellow-paint wall;yellow-paint wall;Gelbwand;pared pintada amarilla;pared pintada amarilla;mur peint jaune;mur peint jaune;muro dipinto giallo;gele wand;黄色油漆墙;黃色油漆牆;きいろいペイントウォール;노란 페인트 벽;желтая стена
RoomWall_04809;orange-paint wall;orange-paint wall;Orangewand;pared pintada naranja;pared pintada naranja;mur peint orange;mur peint orange;muro dipinto arancione;oranje wand;橘色油漆墙;橘色油漆牆;オレンジのペイントウォール;오렌지색 페인트 벽;оранжевая стена
RoomWall_04811;blue-paint wall;blue-paint wall;Blauwand;pared pintada azul;pared pintada azul;mur peint bleu;mur peint bleu;muro dipinto blu;blauwe wand;蓝色油漆墙;藍色油漆牆;あおいペイントウォール;파란 페인트 벽;синяя стена
RoomWall_04812;green-paint wall;green-paint wall;Grünwand;pared pintada verde;pared pintada verde;mur peint vert;mur peint vert;muro dipinto verde;groene wand;绿色油漆墙;綠色油漆牆;みどりのペイントウォール;초록 페인트 벽;зеленая стена
RoomWall_04813;rustic-stone wall;rustic-stone wall;Bruchsteinwand;pared piedra rústica;pared piedra rústica;mur en pierres traditionnel;mur en pierres traditionnel;muro in pietra rustica;rustieke stenen wand;不规则石头墙;不規則石頭牆;ランダムストーンのかべ;마구 붙인 돌 벽;стена из грубого камня
RoomWall_04814;blue-crown wall;blue-crown wall;Blaukronenwand;pared realeza azul;pared realeza azul;mur motif couronnes bleu;mur motif couronnes bleu;muro con corone blu;blauwe kroontjeswand;蓝色皇冠壁纸;藍色皇冠壁紙;ブルークラウンのかべがみ;블루 왕관 벽지;синяя стена с коронами
RoomWall_04815;black-crown wall;black-crown wall;Schwarzkronenwand;pared realeza negra;pared realeza negra;mur motif couronnes noir;mur motif couronnes noir;muro con corone nero;zwarte kroontjeswand;黑色皇冠壁纸;黑色皇冠壁紙;ブラッククラウンのかべがみ;블랙 왕관 벽지;черная стена с коронами
RoomWall_04816;pink-crown wall;pink-crown wall;Rosakronenwand;pared realeza rosa;pared realeza rosa;mur motif couronnes rose;mur motif couronnes rose;muro con corone rosa;roze kroontjeswand;粉红皇冠壁纸;粉紅皇冠壁紙;ピンククラウンのかべがみ;핑크 왕관 벽지;розовая стена с коронами
RoomWall_04817;beige art-deco wall;beige art-deco wall;Beige-Art-déco-Tapete;pared art déco beis;pared art déco beige;mur Art déco beige;mur Art déco beige;muro art déco beige;beige art-decowand;米色装饰线板墙;米色裝飾線板壁紙;ベージュのアールデコかべがみ;베이지 아르데코풍 벽;бежевая стена ар-деко
RoomWall_04818;red art-deco wall;red art-deco wall;Rot-Art-déco-Tapete;pared art déco burdeos;pared art déco bermellón;mur Art déco pourpre;mur Art déco pourpre;muro art déco rosso;rode art-decowand;红色装饰线板墙;紅色裝飾線板壁紙;レッドのアールデコかべがみ;레드 아르데코풍 벽;красная стена ар-деко
RoomWall_04819;screen wall;screen wall;Schiebetürtapete;pared bruma oriental;pared bruma oriental;mur paravent en papier;mur paravent en papier;muro porta scorrevole;scherm;日式拉门;日式拉門;ふすま;미닫이 문 벽;стена-ширма
RoomWall_04820;gold-screen wall;gold-screen wall;Goldtürtapete;pared oriental;pared oriental;mur paravent;mur paravent d'or;muro porta scorrevole d'oro;gouden scherm;金箔日式拉门;金箔日式拉門;きんぱくのふすま;황금 미닫이 문 벽;золотая стена-ширма
RoomWall_04821;circuit-board wall;circuit-board wall;Leiterplattentapete;pared circuito integrado;pared circuito integrado;mur circuit imprimé;mur circuit imprimé;muro circuito stampato;printplaatwand;主机板墙;主機板牆;きばんのかべ;전자 회로 벽;стена-микросхема
RoomWall_04825;shutter wall;shutter wall;Rollladenwand;pared persiana;pared persiana;mur volet roulant;mur volet roulant;muro saracinesca;rolluikwand;铁卷门墙;鐵捲門牆;シャッターのかべ;닫힌 셔터 벽;стена-жалюзи
RoomWall_04826;white botanical-tile wall;white botanical-tile wall;Weiß-Relieffliesenwand;pared cerámica blanca;pared cerámica blanca;mur botanique blanc;mur botanique blanc;muro bassorilievo bianco;witte patroontegelwand;白色植物图案砖墙;白色植物圖案磚牆;しろいボタニカルタイルのかべ;화이트 보태니컬 타일 벽;белая кафельная стена
RoomWall_04827;brown botanical-tile wall;brown botanical-tile wall;Braun-Relieffliesenwand;pared cerámica marrón;pared cerámica marrón;mur botanique brun;mur botanique brun;muro bassorilievo marrone;bruine patroontegelwand;棕色植物图案砖墙;棕色植物圖案磚牆;ブラウンボタニカルタイルのかべ;브라운 보태니컬 타일 벽;темная кафельная стена
RoomWall_04828;chic wall;chic wall;Omatapete;pared lujo;pared lujo;mur rustique;mur rustique;muro classico;chique wand;古典壁纸;古典壁紙;クラシックなかべがみ;클래식 벽지;шикарная стена
RoomWall_04830;lattice wall;lattice wall;Pavillonwand;pared celosía;pared celosía;mur tonnelle;mur tonnelle;muro a rete;raamwerkwand;东方风交叉格栅;東方風交叉格柵;オリエンタルなラティス;오리엔탈 격자 벽;решетчатая стена
RoomWall_04831;beige blossoming wall;beige blossoming wall;Beige-Blümchentapete;pared floreada beis;pared floreada beige;mur beige à petites fleurs;mur floraison beige;muro fiorato beige;beige boeketlambrisering;米色花草图案墙;米色花草圖案牆;ベージュのくさばなもようのかべ;베이지 풀꽃 벽;бежевая стена с цветами
RoomWall_04832;wavy-tile wall;wavy-tile wall;Wellenfliesenwand;pared gres ondulada;pared gres ondulada;mur ondulations;mur ondulations;muro ondulato;golventegelwand;波浪砖墙;波浪磚牆;ウェーブタイルのかべ;웨이브 타일 벽;волнистая стена
RoomWall_04833;bamboo wall;bamboo wall;Bambuswand;pared bambú;pared bambú;mur en bambou;mur en bambou;muro bambù;bamboewand;竹子墙;竹子牆;バンブーなかべ;대나무 벽;бамбуковая стена
