label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
HousePost_02571;ordinary mailbox;ordinary mailbox;Standard-Briefkasten;buzón clásico;buzón clásico;boîte aux lettres ordinaire;boîte aux lettres ordinaire;cassetta posta normale;ronde brievenbus;普通信箱;普通郵筒;ふつうのポスト;일반 우편함;простой ящик
HousePost_05342;square mailbox;square mailbox;Eckigbriefkasten;buzón cuadrado;buzón cuadrado;b.a.l. rectangulaire;b.a.l. rectangulaire;cassetta posta cubica;brievenbus;方形信箱;四角型郵筒;しかくいポスト;사각 우편함;ящик-куб
HousePost_05343;wooden mailbox;wooden mailbox;Holzbriefkasten;buzón de madera;buzón de madera;boîte aux lettres en bois;b.a.l. en bois;cassetta posta di legno;houten brievenbus;木信箱;木郵筒;きのポスト;나무 우편함;ящик из дерева
HousePost_05344;large mailbox;large mailbox;Maxi-Briefkasten;buzón para paquetes;buzón para paquetes;grande boîte aux lettres;grande b.a.l.;cassetta posta grande;grote brievenbus;大信箱;大郵筒;おおきなポスト;커다란 우편함;большой ящик
HousePost_05802;rustic mailbox;rustic mailbox;Rustikalbriefkasten;buzón rústico;buzón rústico;b.a.l. rudimentaire;b.a.l. rudimentaire;cassetta posta grezza;rustieke brievenbus;朴素信箱;樸素郵筒;そぼくなポスト;소박한 우편함;грубый ящик
HousePost_08661;red ordinary mailbox;red ordinary mailbox;Rot-Briefkasten;buzón clásico rojo;buzón clásico rojo;b.a.l. ordinaire rouge;b.a.l. ordinaire rouge;cassetta posta rossa;rode ronde brievenbus;红色普通信箱;紅色普通郵筒;あかいふつうのポスト;빨간색 일반 우편함;простой красный ящик
HousePost_08662;pink ordinary mailbox;pink ordinary mailbox;Rosa-Briefkasten;buzón clásico rosa;buzón clásico rosa;b.a.l. ordinaire rose;b.a.l. ordinaire rose;cassetta posta rosa;roze ronde brievenbus;粉红色普通信箱;粉紅色普通郵筒;ピンクのふつうのポスト;핑크색 일반 우편함;простой розовый ящик
HousePost_08663;yellow ordinary mailbox;yellow ordinary mailbox;Gelb-Briefkasten;buzón clásico ocre;buzón clásico ocre;b.a.l. ordinaire jaune;b.a.l. ordinaire jaune;cassetta posta gialla;gele ronde brievenbus;黄色普通信箱;黃色普通郵筒;きいろいふつうのポスト;노란색 일반 우편함;простой желтый ящик
HousePost_08664;green ordinary mailbox;green ordinary mailbox;Grün-Briefkasten;buzón clásico verde;buzón clásico verde;b.a.l. ordinaire verte;b.a.l. ordinaire verte;cassetta posta verde;groene ronde brievenbus;绿色普通信箱;綠色普通郵筒;みどりのふつうのポスト;초록색 일반 우편함;простой зеленый ящик
HousePost_08665;blue ordinary mailbox;blue ordinary mailbox;Blau-Briefkasten;buzón clásico azul;buzón clásico azul;b.a.l. ordinaire bleue;b.a.l. ordinaire bleue;cassetta posta blu;blauwe ronde brievenbus;蓝色普通信箱;藍色普通郵筒;あおいふつうのポスト;파란색 일반 우편함;простой синий ящик
HousePost_08666;white ordinary mailbox;white ordinary mailbox;Weiß-Briefkasten;buzón clásico blanco;buzón clásico blanco;b.a.l. ordinaire blanche;b.a.l. ordinaire blanche;cassetta posta bianca;witte ronde brievenbus;白色普通信箱;白色普通郵筒;しろいふつうのポスト;하얀색 일반 우편함;простой белый ящик
