label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Poster_10312;Isabelle's poster;Isabelle's poster;Poster von Melinda;póster de Canela;póster de Canela;poster de Marie;poster de Marie;poster di Fuffi;poster van Isabelle;西施惠的海报;西施惠的海報;しずえのポスター;여울의 포스터;постер Изабель
Poster_10313;Resetti's poster;Resetti's poster;Poster von Resetti;póster de Rese T.;póster de Rese T.;poster de Resetti;poster de Resetti;poster di Resetti;poster van Resetti;电源叔叔的海报;電源叔叔的海報;リセットさんのポスター;도루묵씨의 포스터;постер Ресетти
Poster_10314;Pancetti's poster;Pancetti's poster;Poster von Brigitte;póster de Talía;póster de Talía;poster de Lydie;poster de Lydie;poster di Cicciola;poster van Pancetti;布兰妮的海报;布蘭妮的海報;ブリトニーのポスター;브리트니의 포스터;постер Панчетти
Poster_10315;Chief's poster;Chief's poster;Poster von Sascha;póster de Zoilo;póster de Zoilo;poster de Chef;poster de Chef;poster di Artiglio;poster van Chief;施傅的海报;施傅的海報;チーフのポスター;대장의 포스터;постер Чифа
Poster_10316;Bunnie's poster;Bunnie's poster;Poster von Mimmi;póster de Coni;póster de Coni;poster de Clara;poster de Clara;poster di Bonny;poster van Bunnie;莉莉安的海报;莉莉安的海報;リリアンのポスター;릴리안의 포스터;постер Банни
Poster_10317;Clay's poster;Clay's poster;Poster von Dietmar;póster de Boliche;póster de Boliche;poster de Guido;poster de Guido;poster di Carmelo;poster van Clay;子墨的海报;子墨的海報;どぐろうのポスター;햄둥의 포스터;постер Клэя
Poster_10318;Diana's poster;Diana's poster;Poster von Vroni;póster de Bambina;póster de Bambina;poster de Didi;poster de Didi;poster di Diana;poster van Diana;倪家莉的海报;倪家莉的海報;ナタリーのポスター;나탈리의 포스터;постер Дианы
Poster_10319;Axel's poster;Axel's poster;Poster von Axel;póster de Eustakio;póster de Eustakio;poster d'Axel;poster d'Axel;poster di Sandro;poster van Axel;大大的海报;大大的海報;エックスエルのポスター;엑스엘리의 포스터;постер Акселя
Poster_10320;Muffy's poster;Muffy's poster;Poster von Marion;póster de Muaré;póster de Muaré;poster de Charlène;poster de Charlène;poster di Morena;poster van Muffy;彭澎的海报;彭澎的海報;フリルのポスター;프릴의 포스터;постер Маффи
Poster_10321;Henry's poster;Henry's poster;Poster von Freddy;póster de Saperto;póster de Saperto;poster d'Henri;poster d'Henri;poster di Renato;poster van Henry;亨利的海报;亨利的海報;ヘンリーのポスター;헨리의 포스터;постер Генри
Poster_10322;Bertha's poster;Bertha's poster;Poster von Berta;póster de Berta;póster de Berta;poster de Bertha;poster de Bertha;poster di Umberta;poster van Bertha;豆沙的海报;豆沙的海報;あんこのポスター;베티의 포스터;постер Берты
Poster_10323;Cyrano's poster;Cyrano's poster;Poster von Theo;póster de Cirano;póster de Cirano;poster de Cyrano;poster de Cyrano;poster di Cirano;poster van Cyrano;阳明的海报;陽明的海報;さくらじまのポスター;사지마의 포스터;постер Сирано
Poster_10324;Blathers's poster;Blathers's poster;Poster von Eugen;póster de Sócrates;póster de Sócrates;poster de Thibou;poster de Thibou;poster di Blatero;poster van Blathers;傅达的海报;傅達的海報;フータのポスター;부엉의 포스터;постер Блезерса
Poster_10325;Peanut's poster;Peanut's poster;Poster von Paulina;póster de Belinda;póster de Belinda;poster de Rachida;poster de Rachida;poster di Rachele;poster van Peanut;小桃的海报;小桃的海報;ももこのポスター;핑키의 포스터;постер Пинат
Poster_10326;Cole's poster;Cole's poster;Poster von Karl;póster de Nicolás;póster de Nicolás;poster d'Épicure;poster d'Épicure;poster di Lello;poster van Cole;阿甘的海报;阿甘的海報;アマミンのポスター;아마민의 포스터;постер Коула
Poster_10327;Willow's poster;Willow's poster;Poster von Natascha;póster de Cuqui;póster de Cuqui;poster de Maï;poster de Maï;poster di Belinda;poster van Willow;梅丽诺的海报;梅麗諾的海報;マリーのポスター;마리의 포스터;постер Уиллоу
Poster_10328;Roald's poster;Roald's poster;Poster von Roland;póster de Bobi;póster de Bobi;poster de Reynald;poster de Reynald;poster di Angelino;poster van Roald;企鹅达的海报;企鵝達的海報;ペンタのポスター;펭수의 포스터;постер Роальда
Poster_10329;Molly's poster;Molly's poster;Poster von Monika;póster de Deira;póster de Deira;poster de Molly;poster de Molly;poster di Molly;poster van Molly;亚美的海报;亞美的海報;カモミのポスター;귀오미의 포스터;постер Молли
Poster_10330;Walker's poster;Walker's poster;Poster von Fido;póster de Miki;póster de Miki;poster de George;poster de George;poster di Walter;poster van Walker;阿笨的海报;阿笨的海報;ベンのポスター;벤의 포스터;постер Уокера
Poster_10331;K.K.'s poster;K.K.'s poster;Poster von K.K.;póster de Totakeke;póster de Totakeke;poster de Kéké;poster de Kéké;poster di K.K.;poster van K.K.;K.K.的海报;K.K.的海報;とたけけのポスター;K.K.의 포스터;постер К. К.
Poster_10332;Kicks's poster;Kicks's poster;Poster von Schubert;póster de Betunio;póster de Betunio;poster de Blaise;poster de Blaise;poster di Sciuscià;poster van Kicks;薛革的海报;薛革的海報;シャンクのポスター;패트릭의 포스터;постер Кикса
Poster_10333;Label's poster;Label's poster;Poster von Minna;póster de Tili;póster de Tili;poster de Tiquette;poster de Tiquette;poster di Beatrice;poster van Label;绵儿的海报;綿兒的海報;ことののポスター;고숙이의 포스터;постер Лэйбл
Poster_10334;Celeste's poster;Celeste's poster;Poster von Eufemia;póster de Estela;póster de Estela;poster de Céleste;poster de Céleste;poster di Celeste;poster van Celeste;傅珂的海报;傅珂的海報;フーコのポスター;부옥의 포스터;постер Селесты
Poster_10335;Copper's poster;Copper's poster;Poster von Harry;póster de Vigilio;póster de Vigilio;poster de Maret;poster de Maret;poster di Birro;poster van Copper;警察叔叔的海报;警察叔叔的海報;おまわりさんのポスター;경찰관의 포스터;постер Коппера
